reads,sketch_id,shared_hashes,mlst,meca,pvl,scc,clindamycin,rifampicin,ciprofloxacin,vancomycin,tetracycline,mupirocin,gentamicin,trimethoprim,penicillin,methicillin,erythromycin,fusidicacid,pubmlst_id,resolution
8000,SAMEA3484383,382,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
8000,SAMN06327692,382,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
8000,SAMEA3924204,380,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
8000,SAMEA70273918,380,ST36,MRSA,PVL-,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,33128,10k
8000,SAMEA104137203,378,ST30,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,33128,10k
1000,SAMN08815421,1399,ST5,MRSA,PVL*,Vc,R,S,R,S,S,S,S,R,R,R,R,r,34208,10k
1000,SAMEA2340370,1395,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34208,10k
1000,SAMEA3717850,1391,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
1000,SAMEA2384444,1389,ST5,MSSA,PVL*,-,S,S,R,S,S,S,S,R,S,S,S,S,34208,10k
1000,SAMEA2743785,1389,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
2000,SAMEA103891302,1025,ST5,MRSA,PVL*,SCCmec-IX,S,S,R,S,S,S,R,r,R,R,S,S,34208,10k
2000,SAMEA3717850,1014,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
2000,SAMEA3924060,1010,ST228,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,R,S,R,R,R,S,34208,10k
2000,SAMEA2827000,1008,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34208,10k
2000,SAMEA24667168,1007,ST5,MSSA,PVL*,-,S,S,S,S,S,S,S,S,R,S,S,S,34208,10k
3000,SAMEA3717850,758,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
3000,SAMEA4547720,754,ST228,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,R,S,R,R,R,S,34208,10k
3000,SAMEA2228865,753,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
3000,SAMN06847400,750,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
3000,SAMEA1572279,748,ST5,MRSA,PVL*,SCCmec-IV,S,S,S,S,S,S,S,S,R,R,S,S,34208,10k
4000,SAMEA3717850,633,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
4000,SAMEA2228865,618,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
4000,SAMEA4547720,614,ST228,MRSA,PVL*,SCCmec-I,R,S,R,S,S,S,R,S,R,R,R,S,34208,10k
4000,SAMEA1464437,610,ST5,MSSA,PVL*,-,S,S,R,S,S,S,S,S,R,S,S,S,34208,10k
4000,SAMEA3717855,610,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
5000,SAMEA3717850,552,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
5000,SAMEA103891524,532,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
5000,SAMEA2228865,531,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
5000,SAMEA3717855,531,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
5000,SAMEA2742910,530,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
6000,SAMEA3401100,470,ST1178,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,34208,10k
6000,SAMEA3401122,468,ST1178,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,S,R,R,S,S,34208,10k
6000,SAMEA3716977,466,ST2689,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,R,R,R,R,S,34208,10k
6000,SAMEA3717850,466,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
6000,SAMEA3401166,464,ST1178,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,S,R,R,S,S,34208,10k
7000,SAMEA3717850,409,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
7000,SAMEA103891524,404,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
7000,SAMEA1572500,404,ST5,MRSA,PVL+,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,34208,10k
7000,SAMEA3716977,404,ST2689,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,R,R,R,R,S,34208,10k
7000,SAMEA3401100,403,ST1178,MRSA,PVL*,SCCmec-II,S,S,R,S,S,S,S,S,R,R,S,S,34208,10k
8000,SAMEA1572500,372,ST5,MRSA,PVL+,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,34208,10k
8000,SAMEA3717850,371,ST225,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
8000,SAMEA3716977,366,ST2689,MRSA,PVL*,SCCmec-II,S,S,S,S,R,S,S,R,R,R,R,S,34208,10k
8000,SAMEA103891467,365,ST5,MRSA,PVL*,SCCmec-II,R,S,R,S,S,S,S,S,R,R,R,S,34208,10k
8000,SAMEA2664840,365,ST5,MRSA,PVL+,SCCmec-IV,R,S,S,S,S,S,S,S,R,R,R,S,34208,10k
1000,SAMEA4008570,1472,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
1000,SAMEA2076215,1458,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
1000,SAMEA4008585,1458,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
1000,SAMEA2077296,1455,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
1000,SAMEA2080431,1453,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
2000,SAMEA2077578,1051,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
2000,SAMEA4008570,1048,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
2000,SAMEA70326418,1046,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
2000,SAMEA104325293,1044,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,r,R,R,R,R,S,34210,10k
2000,SAMEA800207,1044,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
3000,SAMEA2080416,809,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
3000,SAMEA2077578,808,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
3000,SAMEA1963921,805,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
3000,SAMEA862584,800,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,S,R,R,R,R,R,S,34210,10k
3000,SAMEA958859,799,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
4000,SAMEA2080810,650,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
4000,SAMEA2662001,649,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
4000,SAMEA1963921,647,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
4000,SAMEA3212945,647,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34210,10k
4000,SAMEA1965241,643,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
5000,SAMEA1963921,556,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
5000,SAMEA2080810,556,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
5000,SAMEA2080412,551,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
5000,SAMEA2078551,550,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
5000,SAMEA2081577,550,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
6000,SAMEA1963921,486,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
6000,SAMEA2078551,483,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
6000,SAMEA2081577,481,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
6000,SAMEA2080810,479,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
6000,SAMEA2076236,477,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
7000,SAMEA1963921,423,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
7000,SAMEA1967537,418,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
7000,SAMEA2078551,418,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
7000,SAMEA2081577,417,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
7000,SAMEA2077032,415,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
8000,SAMEA1963921,384,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
8000,SAMEA2078551,381,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
8000,SAMEA2081577,381,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
8000,SAMEA1967537,380,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
8000,SAMEA2080246,380,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34210,10k
1000,SAMEA3890773,1486,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
1000,SAMEA3401244,1468,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
1000,SAMEA3401219,1461,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,10k
1000,SAMEA3890826,1458,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,10k
1000,SAMEA2080340,1457,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
2000,SAMEA3401244,1086,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
2000,SAMN03197153,1082,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,10k
2000,SAMEA1963921,1080,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
2000,SAMEA2079058,1080,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
2000,SAMEA2076236,1079,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
3000,SAMEA2080416,824,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
3000,SAMEA1963921,821,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
3000,SAMEA958859,816,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
3000,SAMEA2078825,813,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
3000,SAMN03197153,813,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,S,R,R,R,R,R,S,34211,10k
4000,SAMEA2080810,669,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
4000,SAMEA1963921,666,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
4000,SAMEA2077032,665,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
4000,SAMEA1965241,661,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
4000,SAMEA2077024,659,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
5000,SAMEA2080810,568,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
5000,SAMEA1963921,567,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
5000,SAMEA2080412,563,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
5000,SAMEA2080814,560,ST239,MRSA,PVL*,SCCmec-III,R,R,R,S,R,R,R,R,R,R,R,S,34211,10k
5000,SAMEA2081577,560,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
6000,SAMEA1963921,495,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
6000,SAMEA2081577,489,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
6000,SAMEA2080810,488,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
6000,SAMEA2078551,487,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
6000,SAMEA2076236,486,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
7000,SAMEA1963921,437,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
7000,SAMEA1967537,434,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
7000,SAMEA2081577,431,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
7000,SAMEA2076236,429,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
7000,SAMEA2078073,429,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
8000,SAMEA1963921,397,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
8000,SAMEA1967537,394,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
8000,SAMEA2081577,393,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
8000,SAMEA2078328,391,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
8000,SAMEA2080246,390,ST239,MRSA,PVL*,SCCmec-III,R,S,R,S,R,R,R,R,R,R,R,S,34211,10k
1000,SAMEA3449052,1438,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,34290,10k
1000,SAMEA3448846,1432,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
1000,SAMEA3448896,1430,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
1000,SAMEA3449041,1427,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
1000,SAMEA3449106,1426,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,S,R,S,R,S,34290,10k
2000,SAMEA3448958,1063,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
2000,SAMEA3448848,1050,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
2000,SAMEA3448896,1050,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
2000,SAMEA3448904,1049,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
2000,SAMEA3448911,1047,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
3000,SAMEA3448848,785,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
3000,SAMEA3448911,779,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
3000,SAMEA3464972,778,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
3000,SAMEA3448958,775,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
3000,SAMEA3448970,775,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,S,S,S,S,34290,10k
4000,SAMEA3448848,650,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
4000,SAMEA3448958,646,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
4000,SAMEA3464972,641,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
4000,SAMEA3449053,640,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
4000,SAMEA53083918,639,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
5000,SAMEA3448848,567,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
5000,SAMEA3449053,566,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
5000,SAMN08131410,564,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,R,R,S,R,S,34290,10k
5000,SAMEA3448953,563,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
5000,SAMEA3448958,562,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
6000,SAMEA3448848,500,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
6000,SAMEA3448953,495,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
6000,SAMN08131410,494,ST121,MSSA,PVL+,-,R,S,S,S,R,S,S,R,R,S,R,S,34290,10k
6000,SAMEA3448911,486,ST121,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
6000,SAMEA3449053,486,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
7000,SAMEA3448953,444,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
7000,SAMEA3448958,435,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
7000,SAMEA3448848,434,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
7000,SAMN06327554,434,ST1413,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
7000,SAMEA3448987,433,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
8000,SAMEA3448953,403,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
8000,SAMEA3448995,395,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
8000,SAMEA3448848,393,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,S,R,S,S,S,34290,10k
8000,SAMEA3448987,392,ST121,MSSA,PVL+,-,S,S,S,S,R,S,S,R,R,S,S,S,34290,10k
8000,SAMN06327554,391,ST1413,MSSA,PVL+,-,S,S,S,S,S,S,S,R,R,S,S,S,34290,10k
1000,SAMEA3929273,1293,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,S,S,S,S,35605,10k
1000,SAMEA3924055,1283,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
1000,SAMN05336584,1282,ST45,MSSA,PVL-,-,R,S,R,S,S,S,S,S,R,S,R,S,35605,10k
1000,SAMEA2340510,1281,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
1000,SAMEA2664924,1280,ST45,MRSA,PVL-,SCCmec-VI,S,S,S,S,S,S,S,S,R,R,S,R,35605,10k
2000,SAMN05345433,900,ST45,MSSA,PVL-,-,R,S,S,S,S,S,S,S,S,S,R,S,35605,10k
2000,SAMEA3929454,898,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
2000,SAMN05336869,895,ST45,MSSA,PVL-,-,R,S,S,S,S,S,S,S,S,S,R,S,35605,10k
2000,SAMN05340542,894,ST45,MSSA,PVL-,-,R,S,S,S,S,S,S,S,R,S,R,S,35605,10k
2000,SAMN05337659,893,ST45,MSSA,PVL-,-,R,S,S,S,S,S,S,S,S,S,R,S,35605,10k
3000,SAMEA1464146,673,ST54,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
3000,SAMEA3929454,671,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
3000,SAMEA104137098,669,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
3000,SAMEA104152198,669,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
3000,SAMEA1317242,667,ST45,MSSA,PVL-,-,S,S,S,S,S,S,S,S,R,S,S,S,35605,10k
